Feature,Importance
Curricular units 2nd sem (approved),1.2705389
Tuition fees up to date,0.5297111
Curricular units 1st sem (approved),0.3898184
Course,0.2631666
Age at enrollment,0.24212359
Curricular units 2nd sem (grade),0.22069898
Scholarship holder,0.16084327
Gender,0.15261543
Unemployment rate,0.14853598
Mother's qualification,0.14825104
Curricular units 2nd sem (evaluations),0.14263578
Curricular units 2nd sem (enrolled),0.13993132
Mother's occupation,0.1386883
Curricular units 1st sem (enrolled),0.12150961
GDP,0.113306515
Admission grade,0.11090899
Debtor,0.10476049
Previous qualification (grade),0.10400919
Displaced,0.09170223
Father's occupation,0.08802949
Curricular units 1st sem (grade),0.07313078
Application order,0.06871468
Curricular units 1st sem (evaluations),0.067705095
Father's qualification,0.06713993
Curricular units 1st sem (credited),0.066663645
Application mode,0.047117878
Curricular units 1st sem (without evaluations),0.039504822
Inflation rate,0.03473295
Curricular units 2nd sem (credited),0.02930753
Marital Status,0.022052659
Previous qualification,0.015663141
Nacionality,0.013361256
Curricular units 2nd sem (without evaluations),0.013208074
Daytime/evening attendance,0.003674346
Educational special needs,0.0005059107
International,0.0
